termin,pojazd,kto,lotnisko_z,lotnisko_do,latitude_deg_z,longitude_deg_z,iso_country_z,city_z,latitude_deg_do,longitude_deg_do,iso_country_do,city_do
03.2014,EMB,DT,LUKK,EPWA,46.92770004272461,28.930999755859375,MD,Chişinău,52.1656990051,20.967100143399996,PL,Warsaw
03.2014,EMB,DT,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
03.2014,EMB,DT,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
03.2014,EMB,DT,EPWA,EPRZ,52.1656990051,20.967100143399996,PL,Warsaw,50.1100006104,22.0189990997,PL,Rzeszów
03.2014,EMB,DT,EPRZ,EPWA,50.1100006104,22.0189990997,PL,Rzeszów,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
04.2014,EMB,DT,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,Śmigłowiec W-3,DT,EPGD,EPSY,54.377601623535156,18.46619987487793,PL,Gdańsk,53.481899,20.9377,PL,Olsztyn
04.2014,Śmigłowiec W-3,DT,EPSY,EPGD,53.481899,20.9377,PL,Olsztyn,54.377601623535156,18.46619987487793,PL,Gdańsk
04.2014,EMB,DT,EPWA,EPKK,52.1656990051,20.967100143399996,PL,Warsaw,50.077702,19.7848,PL,Kraków
04.2014,EMB,DT,EPKK,EPWA,50.077702,19.7848,PL,Kraków,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,EPGD,52.1656990051,20.967100143399996,PL,Warsaw,54.377601623535156,18.46619987487793,PL,Gdańsk
04.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,EPKK,52.1656990051,20.967100143399996,PL,Warsaw,50.077702,19.7848,PL,Kraków
04.2014,EMB,DT,EPKK,EPGD,50.077702,19.7848,PL,Kraków,54.377601623535156,18.46619987487793,PL,Gdańsk
04.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,CASA,DT,EPWA,EPLK,52.1656990051,20.967100143399996,PL,Warsaw,51.551700592,19.179100036599998,PL,NA
04.2014,CASA,DT,EPLK,EPWA,51.551700592,19.179100036599998,PL,NA,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
04.2014,EMB,DT,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
04.2014,EMB,DT,EBBR,LFPG,50.901401519800004,4.48443984985,BE,Brussels,49.012798,2.55,FR,Paris
04.2014,EMB,DT,LFPG,EPWA,49.012798,2.55,FR,Paris,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,EPPO,52.1656990051,20.967100143399996,PL,Warsaw,52.421001434299995,16.8262996674,PL,Poznań
04.2014,EMB,DT,EPPO,EDDT,52.421001434299995,16.8262996674,PL,Poznań,52.5597,13.2877,DE,Berlin
04.2014,EMB,DT,EDDT,EPGD,52.5597,13.2877,DE,Berlin,54.377601623535156,18.46619987487793,PL,Gdańsk
04.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,LIRF,52.1656990051,20.967100143399996,PL,Warsaw,41.8002778,12.2388889,IT,Rome
04.2014,EMB,DT,LIRF,EPWA,41.8002778,12.2388889,IT,Rome,52.1656990051,20.967100143399996,PL,Warsaw
04.2014,EMB,DT,EPWA,LEMD,52.1656990051,20.967100143399996,PL,Warsaw,40.471926,-3.56264,ES,Madrid
04.2014,EMB,DT,LEMD,EPWA,40.471926,-3.56264,ES,Madrid,52.1656990051,20.967100143399996,PL,Warsaw
05.2014,EMB,DT,EPWA,EPKT,52.1656990051,20.967100143399996,PL,Warsaw,50.4743,19.08,PL,Katowice
05.2014,EMB,DT,EPKT,EPWA,50.4743,19.08,PL,Katowice,52.1656990051,20.967100143399996,PL,Warsaw
