L.p.,Rodzaj statku powietrznego ,Termin,Trasa przelotu,Kto
333.,W3,30.04-01.05.2011,EPWA-EPKK-EPWA-EPGD,DT
334. EMB,334. EMB,05-07.05.2011,WAW-Podgorica-Belgrad Zagrzeb-GDN-WAW,DT
335. EMB,335. EMB,09.05.2011,GDN-WAW,DT
336.,W3,12.05.2011,EPWA-Turbia Łososina-EPKT (Muchowiec),DT
337. EMB,337. EMB,12.05.2011,KTW-GDN,DT
338. EMB,338. EMB,13.05.2011,GDN-WAW,DT
339. EMB,339. EMB,14.05.2011,WAW-GDN,DT
340. EMB,340. EMB,16.05.2011,WAW-GDN-KTW-WAW,DT
341. EMB,341. EMB,20.05.2011,WAW-GDN-WAW,DT
342. EMB,342. EMB,23.05.2011,WAW-GDN-BRU-WAW,DT
343. EMB,343. EMB,28-30.05.2011,WAW-GDN-WAW,DT
344. Bell,344. Bell,01.06.2011,EPWA-InoWRO-EPWA,DT
345.,W3,02.06.2011,EPAW-Włocławek-EPWA,DT
346.,EMB,03.06.2011,WAW-Paryż-WAW,DT
347.,EMB,09.06.2011,WAW-GDN,DT
348.,EMB,13.06.2011,GDN-WAW,DT
349.,EMB,13.06.2011,GDN-WAW,DT
350.,W3,14.06.2011,EPWA-Mielnik-EPWA,DT
351.,W3,15.06.2011,EPWA-Bielsk Podl-EPWA,DT
352.,EMB,16.06.2011,WAW-BTS-WAW,DT
353.,EMB,18.06.2011,WAW-GDN,DT
354.,EMB,20.06.2011,GDN-WAW,DT
355.,EMB,23-24.06.2011,WAW-BRU-WAW,DT
356.,EMB,25-27.06.2011,WAW-GDN-WAW,DT
357.,EMB,02-03.07.2011,WAW-GDN-WAW,DT
358.,EMB,05-06.07.2011,WAW-SXB-WAW,DT
359.,EMB,08-11.07.2011,WAW-GDN-WAW,DT
360.,W3,14.07.2011,EPWA-Stębark-EPWA,DT
361.,EMB,15.07.2011,WAW-PRG-WAW,DT
362.,W3,16.07.2011,EPKK-Nowy Targ-CISNA-EPRZ,DT
363.,EMB,16.07.2011,WAW-KRK,DT
364.,EMB,17.07.2011,RZE-GDN,DT
365.,W3,22.07.2011,EPWA-Białystok-EPWA,DT
366.,EMB,22.07.2011,WAW-GDN,DT
367.,W3,23.07.2011,EPGD-Siemirowice-EPGD,DT
368.,TU,25.07.2011,EPGD-EPWA,DT
369.,EMB,30.07.2011,WAW-KRK-GDN,DT
370.,W3,30.07.2011,EPKK-Łososina-EPKK,DT
371.,EMB,05.08.2011,WAW-GDN,DT
372. policja,policja,12.08.2011,WAW Baby WAW,DT
373.,EMB,13.08.2011,WAW-GDN,DT
374.,EMB,15.08.2011,GDN-WAW,DT
375.,EMB,20.08.2011,WAW-GDN,DT
376.,EMB,27.08.2011,WAW-WRO-GDN,DT
377.,EMB,29.08.2011,GDN-WAW,DT
378.,EMB,30.08.2011,WAW-BRU-WAW,DT
379.,EMB,31.08.2011,WAW-GDN,DT
380.,EMB,01-02.09.2011,WAW-GDN-Paryż-WAW,DT
381.,EMB,02.09.2011,WAW-GDN,DT
382.,EMB,04.09.2011,GDN--LCJ,DT
383.,W3,07.09.2011,EPWA-Tarnów-Nowy Sącz-EPWA,DT
384.,EMB,08.09.2011,WAW-WRO-WAW,DT
385.,EMB,10.09.2011,WAW-GDN,DT
386.,EMB,12.09.2011,WAW-GDN-BRU-WAW,DT
387.,W3,14.09.2011,EPKT-Cieszyn-EPKT,DT
388.,EMB,14.09.2011,WAW-KTW-WAW,DT
389.,EMB,15.09.2011,WAW-RZE-WAW,DT
390.,EMB,16-17.09.2011 ,WAW-GDN-Ryga-Zagrzeb-WAW,DT
391.,EMB,17-18.09.2011,WAW-GDN-WAW,DT
392.,EMB,23.09.2011,SZZ-WAW,DT
393.,EMB,28-29.09.2011,WAW-GDN-WAW,DT
394.,EMB,30.09.2011,WAW-GDN-WAW,DT
395. EMB,EMB,01.10.2011,GDN-WAW,DT
396. EMB,EMB,03.10.2011,KTW-WAW,DT
397. EMB ,EMB,07-08.10.2011,WAW-GDN-WAW,DT
398. EMB,EMB,14.10.2011,WAW-PRG-WAW-GDN,DT
399. EMB,EMB,20.10.2011,WAW-BRU-WAW,DT
400. EMB,EMB,21.10.2011,WAW-GDN,DT
401. EMB,EMB, 22-23.10.2011,WAW-GDN-BRU-GDN-WAW,DT
402. EMB,402. EMB,24.10.2011,GDN-WAW,DT
403. EMB,403. EMB,26.10.2011,WAW-BRU-WAW,DT
404. EMB,404. EMB,28.10.2011,WAW-GDN,DT
405. EMB,405. EMB,29.10.2011,WAW-PMO,DT
406. EMB,406. EMB,04.11.2011,WAW-GDN,DT
407. EMB,407. EMB,07.11.2011,GDN-WAW,DT
408. EMB,408. EMB,11.11.2011,LCJ-GDN,DT
409. EMB,409. EMB,12.11.2011,GDN-WAW-GDN,DT
410. EMB,410. EMB,14.11.2011,GDN-WAW,DT
411. EMB,411. EMB,19.11.2011,WAW-GDN,DT
412. EMB,412. EMB,25.11.2011,WAW-GDN,DT
413. EMB,413. EMB,02.12.2011,WAW-GDN,DT
414. EMB,414. EMB,05.12.2011,GDN-WAW,DT
415,416. EMB ,8.12.2011,WAW-MRS-BRU-WAW,DT
416. EMB ,416. EMB ,13-14.12.2011,WAW-SXB-WAW,DT
417. EMB,417. EMB,16.12.2011,WAW-GDN,DT
418. EMB,418. EMB,19.12.2011,GDN-WAW,DT
419. EMB,419. EMB,21.12.2011,WAW-KTW WAW,DT
420. EMB,420. EMB,23.12.2011,WAW-GDN,DT
421. EMB,421. EMB,27.12.2011,GDN-WAW,DT
422. EMB,422. EMB,30.12.2011,WAW-GDN,DT
423. EMB,423. EMB,02.01.2012,GDN-WAW,DT
424. EMB,424. EMB,05.01.2012,WAW-GDN,DT
425. EMB 11-12.01.2012 ,EMB,11.01.2012,WAW-VRN-WAW-CPH-WAW-VRN-WAW,DT
426. EMB,EMB,16.01.2012,GDN-WAW,DT
427. EMB ,EMB,18-19.01.2012,WAW-Rzym-WAW,DT
428. EMB,428. EMB,20.01.2012,WAW-GDN,DT
429. EMB,429. EMB,23.01.2012,GDN-WAW,DT
430. EMB,430. EMB,27.01.2012,WAW-GDN,DT
431. EMB,431. EMB,29.01.2012,GDN-WAW,DT
432. EMB ,432. EMB ,29-31.01.2012,WAW-BRU-WAW,DT
433. EMB,433. EMB,03.02.2012,WAW-GDN,DT
434. EMB,434. EMB,06.02.2012,GDN-WAW,DT
435. EMB,435. EMB,09.02.2012,WAW-KRK-WAW,DT
436. EMB,436. EMB,10.02.2012,WAW-GDN,DT
437. EMB,437. EMB,13.02.2012,GDN-WAW,DT
438. EMB,438. EMB,17.02.2012,WAW-GDN,DT
439. EMB,439. EMB,19.02.2012,GDN-WAW,DT
440. EMB ,440. EMB ,01-02.03.2012,WAW-BRU-WAW,DT
441. EMB ,441. EMB ,03-04.03.2012,WAW-GDN-KTW-GDN-WAW,DT
442.,W3,17.05.2012,EPWA-EPPO,DT
443. EMB 17-18.04.2012,EMB,17-18.04.2012,WAW-LCA-WAW,DT
444. EMB ,EMB,21-24.04.2012 ,WAW-LCA Dubaj-AUH RUH-LCA-WAW,DT
445. EMB,445. EMB,19.05.2012,WRO-WAW-GDN-WAW,DT
446. EMB,EMB,23-24.05.2012,WAW-BRU-WAW,DT
447. EMB 28-29.05.2012,EMB,28-29.05.2012,WAW-Rzym-WAW,DT
448. EMB,448. EMB, 30-31.05.2012,WAW-RLG -Berlin-WAW,DT
449. EMB,449. EMB,01.06.2012,WAW-OTP-WAW,DT
450. EMB,450. EMB,11.06.2012,GDN-WAW,DT
451. EMB,451. EMB,16.06.2012,WAW-WRO-GDN-WAW,DT
452. EMB,452. EMB,18.06.2012,GDN-WAW,DT
453. EMB,453. EMB,22.06.2012,WAW-PRG-KTW-GDN-WAW,DT
454. EMB ,454. EMB ,28-29.06.2012,WAW-BRU-WAW,DT
455. EMB ,455. EMB ,01-02.07.2012,WAW-KBP-WAW,DT
456. EMB,456. EMB,02.07.2012,GDN-WAW,DT
457. EMB 06-07.07.2012,DT,6.07.2012, WAW-GDN-DBV-GDN-WAW,DT
458.,W3,14.07.2012,EPWA-Lubliniec-EPWA,DT
459. EMB,459. EMB,30.07.2012,GDN-WAW,DT
460. EMB 04-05.08.2012,EMB,04-05.08.2012,WAW-ZHR-WAW,DT
461. EMB,461. EMB,31.08.2012,WAW-GDN,DT
462. EMB,462. EMB,02.09.2012,GDN-WAW-GDN,DT
463. EMB,463. EMB,03.09.2012,GDN-WAW,DT
464. EMB,464. EMB,24.09.2012,GDN-WAW,DT
465.,W3,26.09.2012,EPSZ-Ziemsko-EPSZ,DT
466. EMB,466. EMB,26.09.2012,WAW-SZZ-WAW,DT
467. EMB,467. EMB,01.10.2012,WAW-GDN-KRK-WAW,DT
468. EMB,468. EMB,10.10.2012,WAW-HEL-WAW,DT
469. EMB,469. EMB,15.10.2012,GDN-WAW,DT
470. EMB 17-18.10.2012,,17.10.2012,WAW-OTP-WAW,DT
471. EMB 18-19.10.2012,,18.10.2012,WAW-BRU-WAW,DT
472. EMB 21-22.10.2012,,21.10.2012,WAW-GDN-WAW,DT
473. EMB,473. EMB,25.10.2012,WAW-RZE,DT
474.,W3,26.10.2012,Turbia-EPWA,DT
475. EMB,475. EMB,29.10.2012,WAW-GDN-KTW-WAW,DT
476. EMB,476. EMB,02.11.2012,GDN-WAW,DT
477. EMB,477. EMB,07.11.2012,CPH-WAW,DT
478. EMB,478. EMB,10.11.2012,WAW-RZE-WAW,DT
479. EMB,479. EMB,13.11.2012,WAW-BRU-WAW,DT
480. EMB,480. EMB,14.11.2012,WAW-Berlin,DT
481. EMB 14-15.11.2012,EMB,14.11.2012,Berlin BRU-WAW,DT
482. EMB,EMB,19.11.2012,GDN-WAW,DT
483. EMB 22-23.11.2012,EMB,22.11.2012,WAW-BRU-WAW-GDN,DT
484. EMB,484. EMB,26.11.2012,WAW-GDN-WRO-WAW,DT
485. EMB,485. EMB,29.11.2012,WAW-WRO-WAW,DT
486. EMB,486. EMB,10.12.2012,GDN-OSL-WAW,DT
487. EMB 13-14.12.2012,EMB,13.12.2012,WAW-BRU-WAW,DT
488. EMB,488. EMB,28.01.2013,WAW-Paryż-WAW,DT
489. EMB 06-07.02.2013,EMB,6.02.2013,WAW-Luksemburg-BRU,DT
490. EMB,490. EMB,08.02.2013,BRU-WAW,DT
491. EMB 04-05.03.2013,EMB,4.03.2013,WAW-HAJ-WAW,DT
492. EMB,492. EMB,11.03.2013,WAW-GDN-Talli- WAW,DT
493. EMB 14-15.03.2013,EMB,14.03.2013,WAW-BRU-WAW,DT
494. EMB,494. EMB,27.03.2013,WAW-Poprad-WAW,DT
495. EMB,495. EMB,07.04.2013,GDN-WAW,DT
496. EMB,496. EMB,09-10.04.2013,WAW-Moskwa-WAW,DT
497. EMB,497. EMB,17.04.2013,WAW-Londyn-WAW,DT
498. EMB,498. EMB,21-22.04.2013,WAW-GDN Berlin WAW,DT
499. EMB,499. EMB,22.05.2013,WAW-BRU-WAW,DT
500. EMB,500. EMB,07-08.06.2013,WAW-Lizbona-GDN-WAW,DT
501. EMB,501. EMB,03.06.2013,WAW-GDN-LCJ-WAW,DT
502. EMB,502. EMB,10.06.2013,WAW-GDN-Belgrad-WAW,DT
503. EMB,503. EMB,27-28.06.2013,WAW-WRO-BRU-KTW-WAW,DT
504. EMB 30.06-01.07.2013,EMB,30.06.2013,WAW-Zagrzeb-WAW,DT
505. EMB,505. EMB,03.07.2013,WAW-Berlin-WAW,DT
506. EMB,506. EMB,14-15.07.2013,WAW-GDN-Madryt-WAW,DT
507. EMB,507. EMB,29.07.2013,WAW-IEG-WAW,DT
508.,W3,02.08.2013,Mińsk Maz.-Wadowice-EPWA,DT
509.,W3,29.08.2013,EPWA-Busko Zdrój-EPWA,DT
510.,W3,03.09.2013,EPWA-Krynica-EPWA,DT
511.,W3,10.09.2013,EPKT-EPWA,DT
512. EMB,512. EMB,16.09.2013,WAW-GDN-KTW-WAW,DT
513. EMB,513. EMB,25.09.2013,WAW-GDN-WAW,DT
514. EMB,514. EMB,30.09.2013,GDN-LCJ-WAW,DT
515. EMB,515. EMB,03.10.2013,WAW-KRK-WAW,DT
516.,W3,03.10.2013,EPKK-Lubliniec-EPKK,DT
517. EMB,517. EMB,14.10.2013,WAW-GDN-BUD-WAW,DT
518. EMB,518. EMB,24-25.10.2013,WAW-BRU-WAW,DT
519. EMB,519. EMB,31.10.2013,WAW-GDN-WAW,DT
520. EMB,520. EMB,11-12.11.2013,WAW-Paryż-WAW,DT
521. EMB,521. EMB,26.11.2013,WAW-OTP-WAW,DT
522. EMB,522. EMB,29.11.2013,WAW-KRK-WAW,DT
523. EMB,523. EMB,01.12.2013,GDN-WAW,DT
524. EMB,524. EMB,04.12.2013,KTW-WAW,DT
525. EMB,525. EMB,09.12.2013,WAW-GDN-POZ-WAW,DT
526. EMB,526. EMB,19-20.12.2013,WAW-BRU-WAW,DT
527. EMB,527. EMB,22.12.2013,WAW-KRK-GDN-WAW,DT
528. EMB,528. EMB,28.12.2013,WAW-KRK-GDN,DT
529. EMB,529. EMB,29-30.01.2014,WAW-BUD-BRU-Paryż -WAW,DT
530. EMB,530. EMB,31.01.2014,WAW-Berlin-Oxfordshire-WAW,DT
531. EMB,531. EMB,03.02.2014,WAW-GDN-TLL-Sztokholm-HEL-WAW,DT
532. EMB,532. EMB,06.02.2014,WAW-KIV-WAW,DT
533. EMB,533. EMB,14-16.02.2014,WAW-WRO -KRK-WAW,DT
534. W-3,534. W-3,15-16.02.2014,Opole-Zakopane-EPKK,DT
535. EMB,535. EMB,21.02.2014,WAW-RZE-WAW,DT
536. EMB,536. EMB,06-07.03.2014,WAW-BRU-DUB-GDN-WAW,DT
537. EMB,537. EMB,08.03.2014,GDN-KRK-GDN-WAW,DT
538. EMB,538. EMB,10.03.2014,GDN-WAW,DT
539. EMB,539. EMB,20-21.03.2014,WAW-BRU-WAW,DT
540. EMB,540. EMB,26.03.2014,WAW-GDN-WAW,DT
541. EMB,541. EMB,28.03.2014,WAW-KIV-WAW,DT
542. EMB,542. EMB,29.03.2014,WAW-KTW WAW,DT
543. EMB,543. EMB,30.03.2014,WAW-RZE-WAW,DT
544. EMB,544. EMB,02.04.2014,WAW-BRU-WAW,DT
545.,W3,06.04.2014,EPGD- Bartoszyce-EPGD,DT
546. EMB,546. EMB,09.04.2014,WAW-KRK-WAW,DT
547. EMB,547. EMB,10.04.2014,WAW-GDN-WAW,DT
548. EMB,548. EMB,11.04.2014,WAW-KRK-GDN-WAW,DT
549. CASA,549. CASA,14.04.2014,WAW-Łask-WAW,DT
550. EMB,550. EMB,17.04.2014,WAW-KTW WAW,DT
551. EMB,551. EMB,23-24.04.2014,WAW-BRU-Paryż-WAW,DT
552. EMB,552. EMB,25.04.2014,WAW-POZ-Berlin-GDN-WAW,DT
553. EMB,553. EMB,26-27.04.2014,WAW-Rzym-WAW,DT
554. EMB,554. EMB,29-30.04.2014,WAW-MAD-WAW,DT
555. EMB,555. EMB,05-07.05.2014,WAW-KTW-WAW,DT
556. EMB,556. EMB,15.05.2014,WAW-BTS-KRK-WAW,DT
557. EMB,557. EMB,16.05.2014,WAW-RZE-WAW,DT
558. EMB,558. EMB,16-19.05.2014,WAW-Neapol -Rzym-WAW,DT
559. EMB,559. EMB,21.05.2014,WAW-BRU-WAW,DT
560. EMB,560. EMB,22-23.05.2014 WAW-SZZ, IEG-WRO-KTW-GDN-WAW,DT
561. EMB,561. EMB,27-28.05.2014,WAW-BRU-SZZ,DT
562. EMB,562. EMB,28.05.2014,SZZ-WAW,DT
563. EMB,563. EMB,29.05.2014,WAW-WRO-WAW,DT
564. EMB,564. EMB,05.06.2014,WAW-KTW-WRO-WAW,DT
565. EMB,565. EMB,23.06.2014,WAW-GDN-WAW,DT
566. EMB,566. EMB,24.06.2014,WAW-BUD-WAW,DT
567. EMB,567. EMB,26-27.06.2014,WAW-Kortrijk-BRU-WAW,DT
568. EMB,568. EMB,09-10.07.2014,WAW Berlin WAW,DT
569. EMB,569. EMB,16-17.07.2014,WAW-BRU-WAW,DT
570. EMB,570. EMB,30-31.08.2014,WAW-BRU-GDN-WAW,DT
571. EMB,571. EMB,01.09.2014,GDN-WAW,DT
572.,W3,01.09.2014,Ostrowiec Św- EPWA,DT
573. EMB,573. EMB,05.09.2014,WAW-KTW WAW,DT
 1.,EMB,06.10.2014,WAW-Bruksela-WAW,EK
 2.,EMB,07.10.2014,WAW-KTW-WAW,EK
 3.,EMB,09-10.10.2014,WAW-Berlin-Paryż-WAW,EK
 4.,EMB,16-17.10.2014,WAW-Mediolan-WAW,EK
 5.,EMB,23-24.10.2014,WAW-Bruksela-WAW,EK
 6.,EMB,30.10.2014,WAW-IEG-WRO-WAW,EK
 7.,EMB,03.11.2014,WAW-WRO-KTW-WAW,EK
 8.,EMB,20.11.2014,WAW-WRO-WAW,EK
 9.,EMB,02.12.2014,WAW-PRG-WAW,EK
10.,W3,04.12.2014,EPWA-EPKT,EK
11.,EMB,04.12.2014,KTW-WAW,EK
12.,EMB,09.12.2014,WAW-BTS-WAW/KRK,EK
13.,EMB,18-19.12.2014,WAW-Bruksela-WAW,EK
14.,EMB,11.01.2015,WAW-Paryż-WAW,EK
15.,EMB,12-13.01.2015,WAW-KTW-WAW,EK
16.,EMB,17.01.2015,KTW-WAW,EK
17.,EMB,19.01.2015,WAW-Kijów-WAW,EK
18.,EMB,29-30.01.2015,WAW-Paryż-WAW,EK
19.,EMB,12-13.02.2015,WAW-Bruksela-WAW,EK
20.,EMB,16.02.2015,WAW-LUZ-WAW,EK
21.,EMB,05.03.2015,WAW-POZ-WAW,EK
22.,EMB,19-20.03.2015,WAW-Bruksela-WAW,EK
23.,W3,10.04.2015,EPWA-EPGD,EK
24.,EMB,17-20.04.2015,WAW-Bolonia-PRG-WAW,EK
25.,EMB,23.04.2015,WAW-Bruksela-WAW,EK
26.,EMB,29.04.2015,WAW-KRK-WAW,EK
27.,EMB,08.05.2015,GDN-WAW,EK
28.,EMB,13.05.2015,WAW-GDN-WAW,EK
29.,W3,18.05.2015,EPWR-Bogatynia-EPWR,EK
30.,EMB,18.05.2015,WAW-WRO-WAW,EK
31.,EMB,21.05.2015,WAW-KTW-RIX-WAW,EK
32.,EMB,11.06.2015,WAW-Bruksela-WAW,EK
33.,EMB,11-12.06.2015,WAW-Rzym-WAW,EK
34.,EMB,19.06.2015,WAW-BTS-WAW,EK
35.,EMB,25-26.06.2015,WAW-Bruksela-WAW,EK
36.,CASA,03.07.2015,WAW-KTW-WAW,EK
37.,EMB,15-16.07.2015,WAW-MAD-WAW,EK
38.,W3,24.08.2015,EPWA-Warka-EPWA,EK
39.,EMB,03.09.2015,WAW-KTW-WAW,EK
40.,EMB,04.09.2015,WAW-GDN-PRG-WAW,EK
41.,EMB,09-10.09.2015,WAW-KRK-WAW,EK
42.,EMB,17.09.2015,WAW-Kijów-WAW,EK
43.,EMB,23-24.09.2015,WAW-Bruksela-WAW,EK
44.,EMB,25.09.2015,WAW-GDN-WAW,EK
45.,EMB,07-08.10.2015,WAW-GLS-WAW,EK
46. EMB ,46. EMB ,15.10.2015,WAW-Bruksela-WAW,EK
47.,W3 ,23.10.2015,EPWA-EPKA-EPWA,EK
 1.,EMB,29-30.11.2015,WAW-BRU-LBG-WAW,BS
 2.,EMB,03.12.2015,WAW-PRG-KRK,BS
 3.,EMB,17-18.12.2015,WAW-BRU-WAW,BS
 4.,EMB,18-19.01.2016,WAW-SXB-WAW,BS
 5.,EMB,02.02.2016,WAW-OSL-WAW,BS
 6.,EMB,03-04.02.2016,WAW-LBG-STN-WAW,BS
 7.,EMB,08.02.2016,WAW-BUD-WAW,BS
 8.,EMB,12.02.2016,WAW-TXL-KRK,BS
 9.,EMB,15.02.2016,KRK-PRG-WAW,BS
10.,EMB,18-20.02.2016,WAW-BRU-KTW,BS
11.,EMB,07-08.03.2016,WAW-BRU-WAW,BS
12.,EMB,16-18.03.2016,WAW-BRU-KRK,BS
13.,EMB,30.03.2016,WAW-RZE-WAW,BS
14.,EMB,04.04.2016,WAW-SZZ-WAW,BS
15.,W-3 Sokół,12.04.2016,EPWA-EPKK-EPWA,BS
16.,EMB,14-15.04.2016,WAW-POZ-KRK,BS
17.,EMB,18.04.2016,WAW-KRK-WAW,BS
18.,W-3 Sokół,28.04.2016,EPWA-EPST-EPWA,BS
19.,EMB,12-13.05.2016,WAW-CIA-KRK,BS
20.,W-3 Sokół,19.05.2016,EPWA-EPKK-EPWA,BS
21.,EMB,22-23.05.2016,KRK-IST-WAW,BS
22.,EMB,08.06.2016,WAW-PRG-SZZ,BS
23.,CASA,09.06.2016,EPSC-EPWA,BS
24.,EMB,18.06.2016,WAW-SZZ-KRK,BS
25.,EMB,22.06.2016,WAW-TXL-WAW,BS
26.,W-3 Sokół,24.06.2016,EPWA-EPKK,BS
27.,EMB,27-29.06.2016,WAW-BRU-WAW,BS
28.,W-3 Sokół,11.07.2016,EPKK-EPWA-EPKK,BS
29.,B-737 czarter ,14-16.07.2016,WAW-ULN-WAW,BS
30.,W-3 Sokół,16.07.2016,EPWA-EPKK,BS
31.,W-3 Sokół,18-19.07.2016,EPKK-EPWA,BS
32.,W-3 Sokół,22.07.2016,EPWA-EPKK,BS
33.,W-3 Sokół,25.07.2016,EPKK-EPWA,BS
34.,W-3 Sokół,26.07.2016,EPWA-EPKK,BS
35.,EMB,28.07.2016,WAW-KTW,BS
36.,W-3 Sokół,01.08.2016,EPWA-Jurata,BS
37.,W-3 Sokół,01.08.2016,EPKK-EPWA,BS
38.,W-3Sokół/CASA,05.08.2016,EPGD-EPWA-EPKK-EPGD,BS
39.,CASA,15.08.2016,EPKK-EPWA,BS
40.,CASA,16.08.2016,EPWA-EPKK,BS
41.,CASA,19.08.2016,EPKK-EPSC-EPKK,BS
42.,CASA,22.08.2016,EPKK-EPWA,BS
43.,EMB,27.08.2016,WAW-SCV-GDN,BS
44.,CASA,28.08.2016,EPGD-EPWA,BS
45.,CASA,30.08.2016,EPWA-EPGD,BS
46. CASA,46. CASA,01.09.2016,EPGD-EPKK,BS
47. CASA,47. CASA,04.09.2016,EPKK-EPWA,BS
48. CASA,48. CASA,08.09.2016,EPKK-EPWA,BS
49. CASA ,49. CASA ,09-10.09.2016,EPWA-EPKK-EPWA,BS
50. EMB,50. EMB,16.09.2016,WAW-BTS-KRK,BS
51. CASA,51. CASA,19.09.2016,EPKK-EPWA,BS
52. CASA 24-26.09.2016,CASA,24-26.09.2016,EPWA-EPKK-EPWA,BS
53. CASA,53. CASA,01.10.2016,EPWA-EPKK,BS
54. EMB,54. EMB,03.10.2016,KRK-IEG-WAW,BS
55. EMB,55. EMB,05.10.2016,WAW-KRK-WAW,BS
56. CASA,56. CASA,07.10.2016,EPWA-EPKK,BS
57. CASA,57. CASA,09.10.2016,EPKK-EPWA,BS
58. CASA,58. CASA,10.10.2016,EPWA-EPLB-EPRZ-EPWA,BS
59. CASA,59. CASA,12.10.2016,EPWA-EPKT-EPZG,BS
60. CASA ,CASA,14-18.10.2016,EPWA-EPKK-EPWA,BS
61. EMB,61. EMB,20-21.10.2016,WAW-BRU-KRK,BS
62. CASA,62. CASA,24.10.2016,EPKK-EPWA,BS
63. CASA,63. CASA,28.10.2016,EPWA-EPKK,BS
64. CASA,64. CASA,02.11.2016,EPKK-EPWA,BS
65. EMB,65. EMB,04-05.11.2016,WAW-RIX-WAW,BS
66. EMB,66. EMB,07.11.2016,WAW-RZE-WAW,BS
67. EMB,67. EMB,11.11.2016,WAW-KRK,BS
68. CASA,68. CASA,14.11.2016,EPKK-EPWA,BS
69. CASA,69. CASA,17.11.2016,EPWA-EPRZ-EPWA,BS
70. EMB,70. EMB,21-22.11.2016,WAW-TLV-WAW,BS
71. CASA,71. CASA,27.11.2016,EPKK-EPWA,BS
72. EMB,72. EMB,28-29.11.2016,WAW-LTN-WAW,BS
73. EMB,73. EMB,30.11.2016,WAW-WRO-WAW,BS
74. EMB,74. EMB,02.12.2016,WAW-KTW,BS
75. CASA,75. CASA,05.12.2016,EPKT-EPWA,BS
76. EMB,76. EMB,08.12.2016,WAW-KRK,BS
77. EMB,77. EMB,09.12.2016,KRK-TIA-WAW,BS
78. EMB,78. EMB,11-12.12.2016,WAW-KTW-WAW,BS
79. EMB,79. EMB,14.12.2016,WAW-RZE-WAW,BS
80. EMB,80. EMB,15-16.12.2016,WAW-BRU-WAW,BS
81. CASA,81. CASA,17.12.2016,EPWA-EPKT,BS
82. CASA,82. CASA,18.12.2016,EPKK-EPWA,BS
83. CASA,83. CASA,21.12.2016,EPWA-EPKK,BS
84. CASA,84. CASA,28.12.2016,EPKK-EPWA,BS
85. CASA,85. CASA,29.12.2016,EPWA-EPKK,BS
86. CASA,86. CASA,02.01.2017,EPKK-EPWA,BS
87. CASA,87. CASA,05.01.2017,EPWA-EPKT,BS
88. CASA,88. CASA,08.01.2017,EPKK-EPWA,BS
89. EMB,89. EMB,14.01.2017,WAW-WRO-KRK,BS
90. CASA,90. CASA,17.01.2017,EPKK-EPWA,BS
91. CASA,91. CASA,26.01.2017,EPWA-EPKK,BS
92. CASA,92. CASA,30.01.2017,EPRZ-EPWA,BS
93. EMB,93. EMB,02-03.02.2017,WAW-POZ-MLA-WAW,BS
94. EMB,94. EMB,08.02.2017,WAW-RTM-WAW,BS
95. CASA,95. CASA,10.02.2017,EPWA-EPKK,BS
96.,EMB,08-10.03.2017,WAW-BRU-WAW,BS
97.,CASA,14.03.2017,EPKK-EPWA,BS
98.,CASA,17.03.2017,EPWA-EPKK,BS
99.,CASA,20.03.2017,EPKK-EPWA,BS
100.,EMB,24-25.03.2017,WAW-CIA-WAW,BS
101.,CASA,01.04.2017,EPBY-EPKK,BS
102.,CASA,04.04.2017,EPKK-EPWA,BS
103.,CASA,18.04.2017,EPKK-EPWA,BS
104.,EMB,23-24.04.2017,WAW-HAJ-WAW,BS
105.,EMB,28-29.04.2017,WAW-BRU-KRK,BS
106.,CASA,02-03.05.2017,EPKK-EPWA-EPKK,BS
107.,CASA,05.05.2017,EPKK-EPWA,BS
108.,CASA,06-07.05.2017,EPWA-EPKK-EPWA,BS
109.,EMB,08.05.2017,WAW-TLL-WAW,BS
110. W-3 Sokół,110. W-3 Sokół,18-19.05.2017,EPWA-EPKK-EPWA,BS
111.,CASA,29.05.2017,EPKK-EPWA,BS
112.,EMB,31.05.2017,WAW-KRK,BS
113.,CASA,01.06.2017,EPKT-EPWA,BS
114.,CASA,03.06.2017,EPWA-EPKK,BS
115.,EMB,06.06.2017,WAW-KRK-WAW,BS
116.,EMB,08.06.2017,WAW-SZZ-WAW,BS
117.,EMB,09.06.2017,WAW-CPH-KRK,BS
118.,EMB,14.06.2017,WAW-KRK,BS
119.,CASA,18.06.2017,EPKK-EPWA,BS
120.,EMB,22-23.06.2017,WAW-BRU-KRK,BS
121.,EMB,04.07.2017,WAW-BUD-WAW,BS
122.,CASA,07.07.2017,EPWA-EPKK,BS
123.,CASA,12.07.2017,EPKK-EPWA,BS
124.,CASA,13.07.2017,EPWA-EPKK,BS
125.,CASA,17.07.2017,EPKK-EPWA,BS
126.,EMB,19.07.2017,WAW-BUD-WAW,BS
127.,CASA,21.07.2017,EPWA-EPKK,BS
128.,CASA,24.07.2017,EPKK-EPWA,BS
129.,EMB,26.07.2017,WAW-KRK-WAW,BS
130. W-3 Sokół,130. W-3 Sokół,15.08.2017,Jurata-EPWA-EPGD,BS
131.,EMB,23.08.2017,KRK-POZ-WAW,BS
132.,CASA,25-28.08.2017,EPWA-EPKK-EPWA,BS
133.,EMB,29.08.2017,WAW-KTW-WAW,BS
134.,EMB,30.08-01.09.2017 ,WAW-WRO-GDN-KRK,BS
