L.p.,Rodzaj statku powietrznego ,Termin,Trasa przelotu,Kto
308. EMB,308. EMB,02.02.2011,WAW-GDN,DT
309. EMB,309. EMB,03-04.02.2011,WAW-GDN-BRU-GDN-WAW,DT
310. EMB,310. EMB,07.02.2011,GDN-WAW,DT
311. EMB,311. EMB,15.02.2011,WAW-Bratysława-WAW,DT
312. EMB,312. EMB,11.02.2011,WAW-GDN,DT
313. EMB,313. EMB,18.02.2011,WAW-GDN,DT
314. EMB,314. EMB,23-24.02.2011,WAW-TLV-WAW,DT
315. EMB,315. EMB,25-26.02.2011,WAW-OSL-GDN-WAW,DT
316. EMB,316. EMB,04.03.2011,WAW-KRK-GDN-WAW,DT
317. EMB,317. EMB,10-11.03.2011,WAW-Torrejon-MAD-BRU-WAW,DT
318. EMB,318. EMB,11-12.03.2011,WAW-GDN-WAW,DT
319. EMB,319. EMB,23-25.03.2011,WAW-BRU-WAW,DT
320. EMB,320. EMB,29-30.03.2011,WAW-KIV-WAW,DT
321. EMB,321. EMB,19.03.2011,WAW-CDG-GDN-WAW,DT
322. EMB,322. EMB,23.03.2011,WAW-SZZ-WAW,DT
323.,W3,23.03.2011,EPSZ-Świnoujście-EPSZ,DT
324. EMB,324. EMB,26-28.03.2011,WAW-GDN-WAW,DT
325. EMB,325. EMB,01.04.2011,WAW-GDN,DT
326. EMB,326. EMB,08.04.2011,WAW-VIE-WAW-GDN,DT
327. EMB,327. EMB,10.04.2011,GDN-WAW-GDN,DT
328. EMB,328. EMB,13.04.2011,WAW-Kijów-WAW,DT
329. EMB,329. EMB,15.04.2011,WAW-GDN,DT
330. EMB,330. EMB,18.04.2011,WAW-GDN-Londyn-WAW,DT
331. EMB,331. EMB,22.04.2011,WAW-GDN,DT
332. EMB,332. EMB,26.04.2011,GDN-WAW,DT
