termin,pojazd,kto,lotnisko_z,lotnisko_do
05.2008,YK,DT,EPWA,EPGD
05.2008,YK,DT,EPWA,EPGD
05.2008,YK,DT,EPGD,EPWA
05.2008,TU,DT,EPWA,SPIM
05.2008,TU,DT,SPIM,SCEL
05.2008,TU,DT,SCEL,EPWA
05.2008,YK,DT,EPGD,EPWA
05.2008,YK,DT,EPWA,EPGD
05.2008,TU,DT,EPWA,LSGG
05.2008,TU,DT,LSGG,EPWA
06.2008,YK,DT,EPWA,EVRA
06.2008,YK,DT,EVRA,EPWA
06.2008,YK,DT,EPWA,EPGD
06.2008,TU,DT,EPWA,LKPR
06.2008,TU,DT,LKPR,EPGD
06.2008,TU,DT,EPGD,EPWA
06.2008,YK,DT,EPWA,EBBR
06.2008,YK,DT,EBBR,EPGD
06.2008,YK,DT,EPGD,EPWA
06.2008,YK,DT,EPWA,EPGD
07.2008,YK,DT,EPWA,EPGD
07.2008,YK,DT,EPWA,EPGD
07.2008,YK,DT,EPGD,EPWA
07.2008,YK,DT,EPWA,EPGD
07.2008,YK,DT,EPGD,EPWA
07.2008,YK,DT,EPWA,EPKK
07.2008,YK,DT,EPKK,EPNT
07.2008,YK,DT,EPNT,EPKK
07.2008,YK,DT,EPKK,EPWA
07.2008,Bell,DT,EPWA,EPLL
07.2008,Bell,DT,EPLL,EPWA
08.2008,YK,DT,EPGD,EPKK
08.2008,YK,DT,EPKK,EPGD
08.2008,Bell,DT,EPWA,LKMT
08.2008,Bell,DT,LKMT,EPWA
08.2008,YK,DT,EPWA,EPGD
08.2008,YK,DT,EPWA,EPGD
08.2008,YK,DT,EPWA,EPGD
08.2008,YK,DT,EPGD,EPKT
08.2008,YK,DT,EPKT,EPGD
08.2008,YK,DT,EPGD,EPWA
08.2008,YK,DT,EPWA,EPGD
08.2008,YK,DT,EPGD,EPSK
08.2008,YK,DT,EPSK,EPGD
09.2008,TU,DT,EPWA,EPGD
09.2008,TU,DT,EPGD,EBBR
09.2008,TU,DT,EBBR,EPWA
09.2008,YK,DT,EPWA,EPKK
09.2008,YK,DT,EPKK,EPWA
09.2008,YK,DT,EPWA,EDDG
09.2008,YK,DT,EDDG,EPGD
09.2008,YK,DT,EPGD,EPWA
09.2008,Bell,DT,EPGD,EPWA
09.2008,Bell,DT,EPWA,EPGD
09.2008,Bell,DT,EPGD,EPWA
09.2008,TU,DT,EPWA,ESSA
09.2008,TU,DT,ESSA,EPWA
09.2008,Bell,DT,EPWA,EPOP
09.2008,Bell,DT,EPOP,EPWA
09.2008,TU,DT,EPWA,EPGD
09.2008,TU,DT,EPGD,UKBB
09.2008,TU,DT,UKBB,EPWA
09.2008,TU,DT,EPWA,EPWR
10.2008,YK,DT,EPWA,EPGD
10.2008,TU,DT,EPWA,LEZL
10.2008,TU,DT,LEZL,EPWA
10.2008,YK,DT,LFPG,EDDT
10.2008,YK,DT,EDDT,EPWA
NA,TU,DT,EPWA,EBBR
NA,TU,DT,EBBR,EPWA
10.2008,YK,DT,EPWA,EPGD
10.2008,TU,DT,EPWA,ZSPD
10.2008,TU,DT,ZSPD,ZBAA
10.2008,TU,DT,ZBAA,EPGD
10.2008,TU,DT,EPGD,EPWA
10.2008,YK,DT,EPWA,EPGD
11.2008,TU,DT,EPWA,EBBR
11.2008,TU,DT,EBBR,EPWA
11.2008,YK,DT,EPWA,EPGD
11.2008,YK,DT,EPGD,EPWA
11.2008,TU,DT,EPWA,EDDF
11.2008,TU,DT,EDDF,EPWA
11.2008,YK,DT,EPWA,EPGD
11.2008,TU,DT,EPWA,EPGD
11.2008,TU,DT,EPGD,OKBK
11.2008,TU,DT,OKBK,OTBD
11.2008,TU,DT,OTBD,EPWA
11.2008,YK,DT,EPWA,EPGD
11.2008,TU,DT,EPWA,EGLL
11.2008,TU,DT,EGLL,EPWA
11.2008,YK,DT,EPGD,EPWA
11.2008,YK,DT,EPWA,EPPO
11.2008,YK,DT,EPPO,EPGD
11.2008,YK,DT,EPGD,EPWA
11.2008,YK,DT,EPWA,EPGD
12.2008,YK,DT,EPWA,EPGD
12.2008,YK,DT,EPGD,EPPO
12.2008,YK,DT,EPPO,EPWA
