"","ID","Title","Year","Rating.x","Runtime","Genre","Director","Metacritic","imdbRating","Language","Country","Oscars","Rating.y","Meter","userMeter","userRating","BoxOffice"
"9440",1002539,"Liverpool",2008,"Not Rated",84,"Drama","Lisandro Alonso",NA,6.3,"Spanish","Argentina, France, Netherlands, Germany, Spain",0,7.7,100,47,2.9,NA
"9441",1002567,"Hansel & Gretel",2007,"",117,"Drama, Fantasy, Horror","Pil-Sung Yim",NA,6.9,"Korean","South Korea",0,6.4,73,70,3.6,NA
"9442",1002765,"My Father My Lord",2007,"",72,"Drama","David Volach",NA,6.9,"Hebrew","Israel",0,7.5,95,73,3.7,24100
"9443",1003034,"Perrier's Bounty",2009,"R",88,"Action, Comedy, Crime","Ian Fitzgibbon",47,6.4,"English","Ireland, UK",0,5.6,57,47,3.2,NA
"9444",1003113,"Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe",2007,"",77,"Documentary, Biography","James Crump",NA,7,"English","USA, Germany",0,6.5,84,68,3.5,NA
"9445",1003115,"The First Saturday in May",2007,"PG-13",96,"Documentary, Sport","Brad Hennegan, John Hennegan",58,7,"English","USA",0,6.6,70,85,4.1,NA
"9446",1003116,"Pete Seeger: The Power of Song",2007,"PG",93,"Documentary, Music","Jim Brown",81,7.8,"English","USA",0,8.2,95,93,4.3,NA
"9447",1003118,"Steep",2007,"PG",92,"Documentary, Sport","Mark Obenhaus",58,7.3,"English","USA",0,5.8,53,69,3.8,NA
"9448",1006904,"Kings of the Evening",2008,"PG",0,"Drama","Andrew P. Jones",NA,6,"English","USA",0,6,80,57,3.4,98700
"9449",1007028,"Zack and Miri Make a Porno",2008,"R",101,"Comedy, Romance","Kevin Smith",56,6.7,"English","USA",0,6.1,65,67,3.5,31400000
"9450",1007029,"The Iron Lady",2011,"PG-13",105,"Biography, Drama, History","Phyllida Lloyd",54,6.4,"English","UK, France",2,5.7,51,51,3.3,3e+07
"9451",1007950,"Diminished Capacity",2008,"Not Rated",92,"Comedy","Terry Kinney",54,5.7,"English","USA",0,5.3,35,37,2.7,NA
"9452",1008010,"The Narrows",2008,"R",106,"Crime, Drama, Thriller","François Velle",NA,6.4,"English","USA",0,4.1,23,45,3.3,NA
"9453",1008023,"Proud American",2008,"PG",115,"Drama","Fred Ashman",NA,1.1,"English","USA",0,2.9,10,38,2.3,NA
"9454",1010048,"Slumdog Millionaire",2008,"R",120,"Drama, Romance, Thriller","Danny Boyle, Loveleen Tandan",86,8.1,"English, Hindi, French","UK",8,8.3,94,90,4,141200000
"9455",1012757,"Loins of Punjab Presents",2007,"",88,"Comedy, Music","Manish Acharya",NA,7.3,"English","India",0,5.7,64,72,3.7,NA
"9456",1012804,"Redbelt",2008,"R",99,"Drama, Sport","David Mamet",69,6.8,"English, Portuguese, Japanese","USA",0,6.3,67,65,3.4,2300000
"9457",1013607,"Idiots and Angels",2008,"13",78,"Animation, Comedy, Drama, Fantasy","Bill Plympton",NA,6.8,"","",0,7.2,93,74,3.7,NA
"9458",1013743,"Knight and Day",2010,"PG-13",109,"Action, Comedy, Romance","James Mangold",46,6.3,"English, German, Spanish","USA",0,5.6,53,49,3.2,76400000
"9459",1013752,"Fast & Furious",2009,"PG-13",107,"Action, Crime, Drama","Justin Lin",45,6.6,"English","USA",0,4.5,27,68,3.7,1.55e+08
"9460",1013753,"Milk",2008,"R",128,"Biography, Drama, History","Gus Van Sant",84,7.7,"English","USA",2,8,94,89,4,31700000
"9461",1013856,"Eccentricities of a Blonde-haired Girl",2009,"",64,"Drama, Romance","Manoel de Oliveira",NA,6.3,"Portuguese","Portugal, Spain, France",0,7,79,49,3.1,NA
"9462",1013860,"Dylan Dog: Dead of Night",2010,"PG-13",107,"Comedy, Horror, Mystery","Kevin Munroe",31,5.2,"English","USA",0,3.2,8,29,2.7,1200000
"9463",1014759,"Alice in Wonderland",2010,"PG",108,"Adventure, Family, Fantasy","Tim Burton",53,6.5,"English","USA",2,5.7,51,55,3.5,319300000
"9464",1014775,"Beverly Hills Chihuahua",2008,"PG",91,"Adventure, Comedy, Drama","Raja Gosnell",41,3.7,"English","USA",0,5,41,52,3.1,94500000
"9465",1014809,"Until the Light Takes Us",2008,"",93,"Documentary, Music","Aaron Aites, Audrey Ewell",54,7,"English","USA",0,5.5,45,57,3.4,NA
"9466",1015246,"War Made Easy: How Presidents & Pundits Keep Spinning Us to Death",2007,"",73,"Documentary","Loretta Alper, Jeremy Earp",57,8,"English","USA",0,7.4,88,78,3.8,NA
